pm2_5,city,co,pm10,level,o3,source,so2,crawl_time,date,aqi,no2
59,上海,0.7,54,良,146,aqi_redis_spider,10,2018-05-12 08:19:42.035000,2015-07-04,88,32
24,上海,0.6,33,良,120,aqi_redis_spider,10,2018-05-12 08:19:42.039000,2015-07-05,67,27
17,上海,0.6,23,优,97,aqi_redis_spider,9,2018-05-12 08:19:42.042000,2015-07-06,49,29
48,上海,0.7,74,中度污染,220,aqi_redis_spider,17,2018-05-12 08:19:42.047000,2015-08-02,155,26
41,上海,0.7,71,中度污染,227,aqi_redis_spider,16,2018-05-12 08:19:42.050000,2015-08-03,162,27
42,上海,0.7,73,中度污染,246,aqi_redis_spider,16,2018-05-12 08:19:42.053000,2015-08-04,181,29
34,上海,0.6,62,中度污染,218,aqi_redis_spider,15,2018-05-12 08:19:42.056000,2015-08-05,153,25
78,上海,1.1,104,轻度污染,195,aqi_redis_spider,19,2018-05-12 08:19:42.059000,2015-09-02,132,47
81,上海,1.3,108,中度污染,224,aqi_redis_spider,25,2018-05-12 08:19:42.062000,2015-09-03,159,43
70,上海,1,88,中度污染,220,aqi_redis_spider,15,2018-05-12 08:19:42.064000,2015-09-04,155,23
46,上海,1,57,轻度污染,161,aqi_redis_spider,13,2018-05-12 08:19:42.066000,2015-09-05,101,26
35,上海,0.9,92,良,145,aqi_redis_spider,18,2018-05-12 08:19:42.068000,2015-10-02,88,40
38,上海,0.7,68,轻度污染,175,aqi_redis_spider,13,2018-05-12 08:19:42.071000,2015-10-03,114,32
28,上海,0.6,44,良,141,aqi_redis_spider,11,2018-05-12 08:19:42.074000,2015-10-04,85,31
28,上海,0.7,37,良,97,aqi_redis_spider,10,2018-05-12 08:19:42.076000,2015-10-05,57,45
119,上海,1.5,153,中度污染,120,aqi_redis_spider,37,2018-05-12 08:19:42.079000,2015-11-02,156,87
90,上海,1.4,106,轻度污染,112,aqi_redis_spider,21,2018-05-12 08:19:42.082000,2015-11-03,119,84
33,上海,0.8,51,良,67,aqi_redis_spider,13,2018-05-12 08:19:42.084000,2015-11-04,69,55
41,上海,0.8,66,良,64,aqi_redis_spider,18,2018-05-12 08:19:42.087000,2015-11-05,73,58
80,上海,1.1,110,轻度污染,58,aqi_redis_spider,23,2018-05-12 08:19:42.090000,2015-12-02,107,62
54,上海,0.9,142,良,58,aqi_redis_spider,30,2018-05-12 08:19:42.093000,2015-12-03,96,56
48,上海,1.1,94,良,47,aqi_redis_spider,36,2018-05-12 08:19:42.096000,2015-12-04,79,63
72,上海,1.4,113,轻度污染,15,aqi_redis_spider,28,2018-05-12 08:19:42.098000,2015-12-05,103,85
